sample_id,task,T,sample_best,native,gain,switch_count,distinct_actions,longest_run,mean_run_length,max_run_fraction,entropy,return_count,aba_n,first_switch_norm,last_switch_norm,r2_score,r2_recovery,at_most_one_switch_recovery,r2_match,r2_match_n,r2_best_n,r2_matching_pair_n,r2_max_plateau_n,r2_coverage,best_A,best_B,best_tau,best_tau_norm,best_mean_distance_first_norm,best_mean_distance_last_norm,available_reverse_pairs,available_reverse_mean_abs_delta,available_reverse_unequal_fraction,best_reverse_delta_if_observed,selected_best_prediction_match,any_matching_prediction_match,matching_prediction_fraction,trajectory
ruler_vt_16k:0165,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,7,3,5,1.875,0.3333333333333333,1.0529815751302694,5,5,0.06666666666666667,0.6666666666666666,1.0,1.0,1.0,True,2,2,2,1,1.0,L24,ALL,9,0.6,0.6666666666666667,0.13333333333333333,294,0.0013605442176870745,0.006802721088435374,0.19999999999999996,True,True,1.0,"[""OFF"", ""L6"", ""OFF"", ""L6"", ""L6"", ""OFF"", ""L6"", ""L6"", ""L6"", ""L18"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]"
ruler_vt_16k:0170,ruler_vt_16k,15,0.4,0.8,0.4,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,0.8,1.0,1.0,True,6,6,5,1,1.0,L18,L24,1,0.06666666666666667,0.27777777777777773,0.27777777777777773,294,0.014285714285714284,0.05102040816326531,0.4,True,True,1.0,"[""L18"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24""]"
ruler_vt_16k:0172,ruler_vt_16k,15,0.4,0.6,0.19999999999999996,2,2,13,5.0,0.8666666666666667,0.35335933502142136,1,1,0.06666666666666667,0.13333333333333333,0.6,1.0,1.0,True,15,15,9,2,1.0,L6,L18,2,0.13333333333333333,0.36444444444444446,0.29777777777777775,294,0.010204081632653059,0.05102040816326531,0.19999999999999996,True,True,1.0,"[""L18"", ""L24"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"
ruler_vt_16k:0183,ruler_vt_16k,15,0.4,0.8,0.4,6,3,7,2.142857142857143,0.4666666666666667,0.9055872616982603,4,3,0.06666666666666667,0.5333333333333333,0.4,0.0,0.0,False,0,588,0,0,1.0,OFF,L0,1,0.06666666666666667,0.4333333333333333,0.2333333333333333,294,0.0,0.0,0.0,False,False,,"[""L18"", ""L0"", ""L18"", ""L18"", ""ALL"", ""L18"", ""L18"", ""L0"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"
ruler_vt_16k:0188,ruler_vt_16k,15,0.4,0.8,0.4,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,0.8,1.0,1.0,True,89,89,38,4,1.0,L0,L6,1,0.06666666666666667,0.4449438202247191,0.4449438202247191,294,0.09931972789115648,0.24829931972789115,0.4,True,True,1.0,"[""L0"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]"
ruler_vt_16k:0194,ruler_vt_16k,15,0.4,0.8,0.4,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,0.8,1.0,1.0,True,136,136,37,5,1.0,L0,L24,1,0.06666666666666667,0.4362745098039215,0.4362745098039215,294,0.1306122448979592,0.32653061224489793,0.4,True,True,1.0,"[""L6"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]"
ruler_vt_16k:0196,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,True,6,6,6,1,1.0,L6,OFF,1,0.06666666666666667,0.22222222222222224,0.22222222222222224,294,0.004081632653061224,0.02040816326530612,0.19999999999999996,True,True,1.0,"[""L6"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]"
ruler_vt_16k:0199,ruler_vt_16k,15,0.4,0.6,0.19999999999999996,2,3,13,5.0,0.8666666666666667,0.6998428398862386,0,0,0.06666666666666667,0.13333333333333333,0.6,1.0,1.0,True,29,29,19,2,1.0,L12,ALL,2,0.13333333333333333,0.4137931034482759,0.34712643678160915,294,0.018367346938775505,0.09183673469387756,0.19999999999999996,True,True,0.8620689655172413,"[""OFF"", ""L12"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]"
ruler_vt_16k:0203,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,8,3,4,1.6666666666666667,0.26666666666666666,1.0529815751302694,6,5,0.06666666666666667,0.8,1.0,1.0,1.0,True,3,3,3,1,1.0,L12,L6,5,0.3333333333333333,0.48888888888888893,0.24444444444444444,294,0.002040816326530612,0.01020408163265306,0.19999999999999996,True,True,1.0,"[""L18"", ""L0"", ""L18"", ""L18"", ""ALL"", ""L18"", ""L18"", ""L18"", ""L18"", ""L0"", ""L18"", ""L0"", ""L18"", ""L18"", ""L18""]"
ruler_vt_16k:0220,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,3,3,12,3.75,0.8,0.6998428398862386,1,1,0.06666666666666667,0.2,1.0,1.0,1.0,True,13,13,11,1,1.0,L24,ALL,2,0.13333333333333333,0.3794871794871795,0.25641025641025644,294,0.008843537414965985,0.04421768707482993,0.19999999999999996,True,True,1.0,"[""L6"", ""L12"", ""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]"
