cohort,A,B,matching_samples,observed_sample_mass,native_marginal_expected,descriptive_enrichment
multi_matched,ALL,L18,62,3.546266233766234,1.5933422130211303,2.2256777011149236
multi_matched,ALL,L24,62,2.58846548455109,0.45578894982537577,5.67908784436919
multi_unmatched,OFF,L0,0,0,0,
multi_unmatched,OFF,L6,0,0,0,
multi_unmatched,OFF,L12,0,0,0,
multi_unmatched,OFF,L18,0,0,0,
multi_unmatched,OFF,L24,0,0,0,
multi_unmatched,OFF,ALL,0,0,0,
multi_unmatched,L0,OFF,0,0,0,
multi_unmatched,L0,L6,0,0,0,
multi_unmatched,L0,L12,0,0,0,
multi_unmatched,L0,L18,0,0,0,
multi_unmatched,L0,L24,0,0,0,
multi_unmatched,L0,ALL,0,0,0,
multi_unmatched,L6,OFF,0,0,0,
multi_unmatched,L6,L0,0,0,0,
multi_unmatched,L6,L12,0,0,0,
multi_unmatched,L6,L18,0,0,0,
multi_unmatched,L6,L24,0,0,0,
multi_unmatched,L6,ALL,0,0,0,
multi_unmatched,L12,OFF,0,0,0,
multi_unmatched,L12,L0,0,0,0,
multi_unmatched,L12,L6,0,0,0,
multi_unmatched,L12,L18,0,0,0,
multi_unmatched,L12,L24,0,0,0,
multi_unmatched,L12,ALL,0,0,0,
multi_unmatched,L18,OFF,0,0,0,
multi_unmatched,L18,L0,0,0,0,
multi_unmatched,L18,L6,0,0,0,
multi_unmatched,L18,L12,0,0,0,
multi_unmatched,L18,L24,0,0,0,
multi_unmatched,L18,ALL,0,0,0,
multi_unmatched,L24,OFF,0,0,0,
multi_unmatched,L24,L0,0,0,0,
multi_unmatched,L24,L6,0,0,0,
multi_unmatched,L24,L12,0,0,0,
multi_unmatched,L24,L18,0,0,0,
multi_unmatched,L24,ALL,0,0,0,
multi_unmatched,ALL,OFF,0,0,0,
multi_unmatched,ALL,L0,0,0,0,
multi_unmatched,ALL,L6,0,0,0,
multi_unmatched,ALL,L12,0,0,0,
multi_unmatched,ALL,L18,0,0,0,
multi_unmatched,ALL,L24,0,0,0,
