sample_id,task,improved,T,candidate_n,duplicate_sequence_n,observed_one_switch_n,full_R2_expected_n,R2_coverage,complete_R2,reverse_available_n
ruler_fwe_16k:0255,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0256,ruler_fwe_16k,True,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0257,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0259,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0260,ruler_fwe_16k,True,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0261,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0262,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0263,ruler_fwe_16k,False,15,385,0,46,588,0.0782312925170068,False,0
ruler_fwe_16k:0264,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0265,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0269,ruler_fwe_16k,False,13,337,0,46,504,0.09126984126984126,False,0
ruler_fwe_16k:0273,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0274,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0278,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0279,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0280,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0283,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0284,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0285,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0286,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0287,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0288,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0289,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0290,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0291,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0292,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0293,ruler_fwe_16k,True,14,361,0,45,546,0.08241758241758242,False,0
ruler_fwe_16k:0295,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0296,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0297,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0298,ruler_fwe_16k,True,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0299,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0301,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0303,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0304,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0305,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0306,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0308,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0310,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0311,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0312,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0313,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0315,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0317,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0320,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0321,ruler_fwe_16k,True,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0322,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0323,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0324,ruler_fwe_16k,True,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0326,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0327,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0332,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0333,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0334,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0335,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0336,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0337,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0341,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0342,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0343,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0344,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0345,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0346,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0347,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0348,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0349,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0350,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0351,ruler_fwe_16k,True,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0353,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0354,ruler_fwe_16k,False,14,361,0,45,546,0.08241758241758242,False,0
ruler_fwe_16k:0356,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0358,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0359,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0361,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0362,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0363,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0365,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0369,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0370,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0371,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0372,ruler_fwe_16k,True,15,385,0,46,588,0.0782312925170068,False,0
ruler_fwe_16k:0373,ruler_fwe_16k,True,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0376,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0377,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0380,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0382,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0386,ruler_fwe_16k,True,15,385,0,45,588,0.07653061224489796,False,0
